Date,open,high,low,Close,volumefrom,volumeto
11/8/2013,0.4871,2.84,0.5584,2.84,2.5,7.1
11/9/2013,2.84,2.942,2.942,2.942,0,0
11/10/2013,2.942,2.691,2.691,2.691,0,0
11/11/2013,2.691,2.904,2.904,2.904,0,0
11/12/2013,2.904,3.04,3.04,3.04,0,0
11/13/2013,3.04,3.479,3.479,3.479,0,0
11/14/2013,3.479,3.467,1.445,1.445,27,39
11/15/2013,1.445,1.446,1.446,1.446,0,0
11/16/2013,1.446,1.54,1.54,1.54,0,0
11/17/2013,1.54,1.761,1.761,1.761,0,0
11/18/2013,1.761,2.618,0.4364,0.4364,379.24,165.49
11/19/2013,0.4364,3.228,0.3587,3.228,27.17,87.72
11/20/2013,3.228,3.19,2.542,2.542,5.02,12.76
11/21/2013,2.542,3.06,3.047,3.06,7.5,22.95
11/22/2013,3.06,4.177,3.208,4.177,174.83,730.23
11/23/2013,4.177,4.336,3.784,3.784,9.9,37.46
11/24/2013,3.784,3.786,1.988,3.786,13.87,52.51
11/25/2013,3.786,3.952,3.459,3.459,100.74,348.42
11/26/2013,3.459,9.7,4.042,7.76,802.77,6229.24
11/27/2013,7.76,12,6.749,10.8,665.75,7189.37
11/28/2013,10.8,44.23,8.158,20.78,806.5,16761.52
11/29/2013,20.78,22.77,6.332,14.19,496.53,7047.5
11/30/2013,14.19,14.71,8.425,13.39,186.14,2493.32
12/1/2013,13.39,11.16,7.726,9.847,352.45,3470.59
12/2/2013,9.847,10.75,8.122,8.122,311.4,2529.26
12/3/2013,8.122,11.51,8.554,10.5,59.99,629.82
12/4/2013,10.5,12.34,9.669,11.79,507.38,5980.2
12/5/2013,11.79,10.85,8.835,10.64,231.83,2466.1
12/6/2013,10.64,8.125,6.602,6.614,968.04,6402.59
12/7/2013,6.614,13.94,5.167,5.241,701.1,3674.39
12/8/2013,5.241,6.184,5.743,6.184,45.56,281.75
12/9/2013,6.184,7.888,6.564,7.207,2527.75,18218.32
12/10/2013,7.207,8.614,7.773,7.773,6442.73,50076.38
12/11/2013,7.773,7.965,6.917,6.917,51688.37,357526.06
12/12/2013,6.917,7.258,6.717,6.818,161760.78,1102925.19
12/13/2013,6.818,7.494,6.691,6.691,67070.91,448794.81
12/14/2013,6.691,6.733,6.06,6.06,24039.34,145676.07
12/15/2013,6.06,6.714,6.133,6.571,3245.1,21322.59
12/16/2013,6.571,5.428,4.75,4.75,11006.43,52275.04
12/17/2013,4.75,4.931,3.575,4.897,4702.68,23028.22
12/18/2013,4.897,3.718,2.533,3.718,98961.52,367954.32
12/19/2013,3.718,6.588,4.224,6.588,88225.48,581189.76
12/20/2013,6.588,5.85,4.244,4.6,13850.5,63709.07
12/21/2013,4.6,4.533,4.269,4.269,14036.82,59929.36
12/22/2013,4.269,4.472,4.099,4.263,14789.63,63055.29
12/23/2013,4.263,4.755,4.602,4.602,590.08,2715.44
12/24/2013,4.602,4.59,4.448,4.568,172.08,786.04
12/25/2013,4.568,4.878,4.19,4.313,6282.78,27096.44
12/26/2013,4.313,5.608,4.89,5.38,34469.67,185463.5
12/27/2013,5.38,5.948,5.019,5.948,106649.62,634372.35
12/28/2013,5.948,5.644,4.832,4.948,3177.82,15725.01
12/29/2013,4.948,5.401,5.098,5.401,483.63,2611.86
12/30/2013,5.401,5.703,5.537,5.703,38878.4,221724.5
12/31/2013,5.703,5.97,5.258,5.77,31876.63,183919.37
1/1/2014,5.77,6.044,5.363,6.044,2422.35,14639.88
1/2/2014,6.044,9.64,5.713,8.319,22935.25,190795.64
1/3/2014,8.319,10.52,7.446,7.757,355.49,2757.44
1/4/2014,7.757,12.33,8.111,8.597,37.12,319.11
1/5/2014,8.597,9.434,8.456,8.456,186.23,1574.73
1/6/2014,8.456,8.883,8.21,8.503,355.45,3022.47
1/7/2014,8.503,7.857,6.348,6.875,471.9,3244.15
1/8/2014,6.875,8.458,7.155,7.155,57.26,409.69
1/9/2014,7.155,7.71,7.14,7.498,104.35,782.46
1/10/2014,7.498,8.329,7.299,7.421,214.78,1593.82
1/11/2014,7.421,7.936,7.662,7.662,70.33,538.84
1/12/2014,7.662,7.357,6.898,7.162,45.31,324.52
1/13/2014,7.162,7.278,6.747,6.747,43.83,295.74
1/14/2014,6.747,7.148,6.566,6.964,105.06,731.69
